id_dataset,id_spotify,url_spotify_preview,artist,name,clean_tags
dfbc6db3a4796a5890462b75389bb90a,1G391cbiT3v3Cywg8T7DM1,https://p.scdn.co/mp3-preview/8602533a3ae6da937635c5fd8ae270d53ad291dc?cid=774b29d4f13844c495f206cafdad9c86,Red Hot Chili Peppers,Scar Tissue,rock
9f1800f7376f89c3288823fdfa843054,0lfH1VLbnBywPOmIMit60M,https://p.scdn.co/mp3-preview/fe298962db3331e8523c714490c678be5313809a?cid=774b29d4f13844c495f206cafdad9c86,Red Hot Chili Peppers,Otherside,rock
9cb440a903061ce13a95524372b40365,028sncWcELBmNBE6RYSRxh,https://p.scdn.co/mp3-preview/8c8377ba2344ad94b74122033b070adcd361bdb2?cid=774b29d4f13844c495f206cafdad9c86,The Killers,When You Were Young,rock
428d73e0e9abcc7d44479444856029b4,0v6Mi3f552jMW6dhYoKAbC,https://p.scdn.co/mp3-preview/7ab3e38ce1671da3a185d8685981983a6f39b7bd?cid=774b29d4f13844c495f206cafdad9c86,Muse,Supermassive Black Hole,rock
88dd1d4c4dbd37a1a3c238985e661980,0LiLzOhHCyGnCX1znFrtul,https://p.scdn.co/mp3-preview/d1ff0ba5c5538ca2c50b808aab2278253c98b038?cid=774b29d4f13844c495f206cafdad9c86,Queen,Bohemian Rhapsody,rock
daba0d45f2b7ad13644641a4e74e80ed,03BednbxXIA23kUtR5HMQ9,https://p.scdn.co/mp3-preview/c1f5819057f7528777163bf7d75bf8609553c5be?cid=774b29d4f13844c495f206cafdad9c86,Kings of Leon,Use Somebody,rock
45449a074d3ebc65bef4eb4ca8e4543b,0hlK03xCSPtLSFJdlZM2kZ,https://p.scdn.co/mp3-preview/f7a1b8a270f310e43ced2720c9af5f29f6476b79?cid=774b29d4f13844c495f206cafdad9c86,Muse,Starlight,rock
a563aef53a104fd5477d9e34c8e29c88,0bomiLGPTUNyk3mV19pbwN,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,Radiohead,Paranoid Android,rock edm
8b7210ed8898c65718be4ec1ba4ff189,07q6QTQXyPRCf7GbLakRPr,https://p.scdn.co/mp3-preview/26f7feca8e14f27659465e336117c03fb8ee29d4?cid=774b29d4f13844c495f206cafdad9c86,Foo Fighters,Everlong,rock
8ce78f005f94f970715ac87eb321f129,0ijMYjXk5iRZp2VsiC8MC8,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=774b29d4f13844c495f206cafdad9c86,Radiohead,No Surprises,rock
e58f7e4e641e7f0bf52fc0ea792e9766,0Ik6qKLeS741z2Xl2oy0YS,https://p.scdn.co/mp3-preview/0e87ade9fa869e31b3c32115c2c10ee8fa522c81?cid=774b29d4f13844c495f206cafdad9c86,Goo Goo Dolls,Iris,pop rock
d44f0a0753faa0971ef6dd7295e3b236,0kO3njY9N1Rxgv27Ha1lLh,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=774b29d4f13844c495f206cafdad9c86,Linkin Park,Numb,metal rock
6d2a8db5c117b5cee27dd0a7141c813e,01vQXuDFQPIizZb7XE3BqN,https://p.scdn.co/mp3-preview/9a8fd2539aea02586dabd6cea3ab9059b532459b?cid=774b29d4f13844c495f206cafdad9c86,The Cranberries,Zombie,rock
d94384504f475aa6db685c5dc550c70a,0BWx4WKgUXKHj8npThsbcH,https://p.scdn.co/mp3-preview/87d4f1047475a73d44731914bca0b883cc1d5876?cid=774b29d4f13844c495f206cafdad9c86,Red Hot Chili Peppers,Dani California,rock
3bd06af900b2b6ea51e116359adeaa1a,03hLW9osM6UuNqlpwL8XPo,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,Led Zeppelin,Stairway to Heaven,rock
305c6e389aa3ae297d505fce0eaa03df,0Aau2Ju1RoLAhL90zRcDx4,https://p.scdn.co/mp3-preview/80a4f151e65749cb4170609c0a5ee505f7c1601a?cid=774b29d4f13844c495f206cafdad9c86,Guns N' Roses,Welcome to the Jungle,metal rock
6c39680e443e8fe013b037bcc4285c4c,04ucB3K9gVnynVBkDMdd0T,https://p.scdn.co/mp3-preview/20e27bbc6c7dd769fc5245d2ef6da78e2ad99549?cid=774b29d4f13844c495f206cafdad9c86,Gorillaz,Clint Eastwood,pop rock edm hip_hop
385dc6d320b79d40faff8efec3e52add,0hBZCHzVNvboVLWS7aNKRO,https://p.scdn.co/mp3-preview/b3ee20e3dbbee530ec004f84031da026beebb300?cid=774b29d4f13844c495f206cafdad9c86,The Rolling Stones,Paint It Black,rock
